Category,Caetgory Description,Name,ImageURL,Date of Appointment,La,Lo,Workplace,Notes,Degree
For-profit Arts Professional,,Jennifer G. Buonocore,,,,,LMN Arts,Gallery Assistant,"MA, 2012"
Curatorial,,Dr. Marcus B. Burke,,,40.833456,-73.94687,The Hispanic Society of America,"Curator, Ptgs., Drawings & Metalwork","PhD, 1984"
Education,,"Olga Bush, PhD",,,41.686662,-73.894944,Vassar College,Adjunct Assistant Professor in Art,"PhD, 2006"
For-profit Arts Professional,,Dr. Andrew W. Butterfield,,,40.712784,-74.005941,"Andrew Butterfield Fine Arts, LLC", ,"PhD, 2002"
Education,,Dr. Walter B. Cahn,,,41.316324,-72.922343,Yale Unversity,Professor Emeritus,"MA, 1961"
Curatorial,,Dr. Marietta Cambareri,,,42.339381,-71.094048,"Museum of Fine Arts, Boston","Curator, Decorative Arts and Sculpture and Jetskalina H. Phillips Curator of Judaica","PhD, 2006"
Museum Director,,Mr. Patrick Cardon,,,44.019249,-69.239769,"The Museum in the Streets, LLC",Director,"MA, 1976"
Education,,Mr. Erik L. Carlson,,,37.37581,-122.213107,Woodside Priory School,Dean of Students,"MA, 1994"
Curatorial,,Ms. Kate Carmel,,,40.77317,-73.981506,American Craft Museum,Chief Curator,"MA, 1963"
Curatorial,,Dr. Dawson W. Carr,,,45.516879,-122.683231,Portland Art Museum,Janet and Richard Geary Curator of European Art,"PhD, 1987"
Conservation,,Ms. Ellen Carrlee,,,58.300193,-134.415805,Alaska State Museum,Conservator,"Certificate in Conservation, 2000"
For-profit Arts Professional,,Mr. Edward Peter Catto,,,,,Ward & Company Works of Art, ,"MA, 2002"
For-profit Arts Professional,,Mr. Francis M. Celentano,,,,, ,Painter,"MA, 1957"
Education,,Dr. Claude Cernuschi,,,42.335549,-71.168495,Boston College,"Chairperson, Art History","PhD, 1988"
Curatorial,,Cathleen Chaffee,,,42.93245,-78.875618,Albright-Knox Gallery,Senior Curator,"PhD, 2013"
Education,,Ms. Veronique Chagnon-Burke,,,40.754247,-73.981944,Christie's Education,Director of Studies/Associate Professor,"MA, 1990"
"Editors, Writers Or Publishers",,Ms. Anne Palms Chalmers,,,,,Houghton Mifflin Company,"Art Director, Cookbooks & Guidebooks","MA, 1969"
Conservation,,Mr. Peter S. Champe,,,40.703784,-74.008047,"Robert Silman Associates, P.C. Consulting Engineers",Architectural Conservator,Certificate in Conservation
Non-profit Arts Administration,,Ms. Nancy Maria Chang,,,22.293524,114.172145,Hong Kong Museum of Art,"Chairman, The Friends of the Hong Kong Museum of Art","MA, 1989"
Conservation,,Ms. Esther Hui-Hui Chao,,,42.377003,-71.11666,Harvard University,Assistant Conservator,"Certificate in Conservation, 1981"
Curatorial,,"Mary Weaver Chapin, PhD",,,45.516879,-122.683231,The Portland Art Museum,Curator of Prints and Drawings,"PhD, 2002"
Conservation,,Ellen Chase,,,38.887908,-77.026494,Freer & Sackler Galleries,Objects Conservator,"Certificate in Conservation, 1993"
Education,,Ms. Michele Kelly Chase,,,40.79483,-74.195429,Bloomfield College,Assistant Professor of History,"MA, 2005"
Conservation,,"Mr. William T. Chase, III",,,,,Chase Art Services, ,"Certificate in Conservation, 1967"
Curatorial,,"Sheldon L. Cheek, PhD",,,42.372735,-71.12108,The Hutchins Center for African and African American Research,"Senior Curatorial Associate, Image of the Black Archive & Library","PhD, 2000"
Conservation,,Ms. Andrea Y. Chevalier,,,41.48949,-81.711361,Intermuseum Conservation Association,Senior Paintings Conservator,"Certificate in Conservation, 1988"
Curatorial,,"Jennifer Y. Chi, PhD",,,40.779928,-73.960263,"Institute for the Study of the Ancient World, NYU",Exhibitions Director and Chief Curator,"PhD, 2002"
,,Ms. Ling-Yi Chien,,,,,"Art, Culture, and Business Development",Consultancies,"MA, 2005"
Non-profit Arts Administration,,Ms. Elizabeth Childs-Johnson,,,32.830954,-83.652934,US State Department,Senior Cultural Property Consultant,"PhD, 1984"
Conservation,,Ms. Perry Chisoo Choe,,,55.941008,-3.179668,Royal Commission on Ancient and Historic Monuments,Project Conservator,"Certificate in Conservation, 1999"
Museum Director,,"Alan D. Chong, PhD",,,1.287408,103.851722,Asian Civilisations Museum (ACM),Director,"PhD, 1992"
Conservation,,Ms. Sue Ann Chui,,,34.078808,-118.475026,The J. Paul Getty Museum,Assistant Conservator,"Certificate in Conservation, 1999"
,,"Yeon Shim Chung, PhD",,,,, , ,"PhD, 2005"
Non-profit Arts Administration,,Ms. J. Mikel Clifford,,,46.729553,-94.6859,Minnesota Shakespeare Company,Artistic Director,"MA, 1966"
For-profit Arts Professional,,Mr. Brian Michael Coburn,,,27.041035,114.909267,A & E Television Networks,Human Resources,"MA, 2009"
,,Ms. Cheri L. Coffin,,,,,Thornton-Donovan School,Middle/High School Teacher of Social Science,"MA, 1994"
,,Dr. Beth Cohen,,,,, ,Self-Employed,"MA, 1970"
Museum Director,,Ms. Janie L. Cohen,,,44.479898,-73.197024,Robert Hull Fleming Museum,Director,"MA, 1986"
Education,,Dr. Marilyn A. Cohen,,,,,Cooper-Hewitt/Bard G.C.,Adjunct Faculty,"PhD, 1987"
Other Occupations,,Dr. Ronny H. Cohen,,,,,Halstead Property,Sales Associate,"MA, 1974"
Curatorial,,Ms. Sari Neidell Cohen,,,,,Neuberger Berman,Collection Manager/AVP,"MA, 1998"
Education,,"Judith Colton, PhD",,,,,Yale University,Professor Emeritus,"MPhD, 1974"
Education,,Dr. Carolyn Loessel Connor,,,35.904912,-79.046913,University of North Carolina at Chapel Hill,Professor of Classics,"PhD, 1987"
Non-profit Arts Administration,,Ms. Elizabeth Anne Coup,,,39.044968,-94.580923,Nelson-Atkins Museum,Department Assistant,"MA, 2009"
