Author,Title,Degree,Year,Advisor,Advisor2,Category,Category2,,IFA categories (just for reference)
"SMITH, Kathyrn","Canonizing the Apocryphal: London B.L. MS. Egerton 2781 and its Visual, Devotional and Social Contexts",Ph.D.,1996,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"STOTZ, Virginia","Romanesque Sculpture on the Façade of Notre-Dame, Saintes",Ph.D.,1995,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"BOOTON, Diane",Pictorial Seasons: A Cultural Study of the Cycle of Calendar Paintings in the Torre dell'Aquila,Ph.D.,1994,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"SCHULER, Karl Frederick",The Pictorial Program of the Chapterhouse of Sigena,Ph.D.,1994,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"GRIFFIN, Jocelyn Crane",Pointing Gestures in Medieval Miniatures: A Study Based on Illustrated Manuscripts of the Terence Comedies,Ph.D.,1991,"Alexander, Jonathan J.G.",,"Early Christian, Byzantine, and Western Medieval Art",,,
"LaROW, Magdalen",The Iconography of Mary Magdalen: The Evolution of a Western Tradition Until 1300,Ph.D.,1982,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"EDMONDSON, Kristine",The Psalter of Henry of Blois: A Study in Romanesque Manuscript Illumination,Ph.D.,1978,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"LITTLE, Charles T.",The Magdeburg Ivory Group: a Tenth Century New Testament Narrative Cycle,Ph.D.,1977,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"MANN, Vivian B.",Romanesque Ivory Tablemen,Ph.D.,1977,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"SCHWARTZBAUM, Elizabeth",The Romanesque Sculpture of the Cathedral of Tournai,Ph.D.,1977,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"PARKER, Elizabeth Crawford",The Descent from the Cross: Its Relation to the Extra-liturgical Depositio Drama,Ph.D.,1975,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"STODDARD, Brooks W.",The Sculpture from the Abbey St.-Pierre at Airvault (Deux-Sevres),Ph.D.,1970,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"DYNES, Wayne Robert","The Illumination of the Stavelot Bible (British Museum, Add. Mss. 28106-28107)",Ph.D.,1969,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"ALEXANDER, Shirley M.",Problems of metal usage in some late antique and early Christian manuscripts,Ph.D.,1968,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"CAHN, Walter",The Souvigny Bible: A Study in Romanesque Manuscript Illumination,Ph.D.,1967,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"WERNER, Martin Stanley",The ''Majestas Domini'' and the Eastern Penetration of Hiberno-Saxon Art; a Study of Iconographic Sources,Ph.D.,1967,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"RAGUSA, Isa",A Gothic Psalter in Princeton: Garrett MS. 35,Ph.D.,1966,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"SANDLER, Lucy Freeman",The Psalter of Robert de Lisle,Ph.D.,1964,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"FERBER, Stanley Harold",Crucifixion Iconography in Carolingian Ivory Carvings of the Liuthard and Metz Groups,Ph.D.,1963,"Bober, Harry",,"Early Christian, Byzantine, and Western Medieval Art",,,
"BLOCH, E. Maurice",Bingham: The Artist and his Times,Ph.D.,1957,"Bober, Harry",,Nineteenth- and Twentieth-Century Art,,,
"PAGGI, Maddalena",Four Praenistine Cistas and the Society and Workshops of Praeneste,Ph.D.,2005,"Bonfante, Larissa",,"Ancient Aegean, Egyptian, Greek and Roman Art",,,
"GRANATO, Lois","Ludovico Gonzaga, Barbara of Brandenburg, Andrea Mantegna : the audience room in the castle in Mantua, imagery of virtue, rulership, and destiny",Ph.D.,2008,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"ELET, Yvonne","Papal villeggiatura in early modern Rome: poetry, spoils, and stucco at Raphael's Villa Madama",Ph.D.,2007,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"RAFANELLI, Lisa",The Ambiguity of Touch: Saint Mary Magdalene and the 'Noli Me Tangere' in Early Modern Italy,Ph.D.,2004,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"LA FRANCE, Robert G.","Francesco d'Ubertino Verdi, il Bachiacca (1494-1557): ''diligente dipintore''",Ph.D.,2002,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"WALDMAN, Louis","The Choir of Florence Cathedral : Transformation of Sacred Space, 1334?1572",Ph.D.,1999,"Brandt, Kathleen Weil-Garris",,"Early Christian, Byzantine, and Western Medieval Art",Renaissance Art,,
"CAMBARERI, Marietta",Ippolito Scalza and the 16c Renovation Projects at Orvieto Cathedral,Ph.D.,1998,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"AMY, Michael",Michelangelo's Commission for Apostle Statue for the Cathedral of Florence,Ph.D.,1997,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"KUNTZ, Margaret A.",The Cappella Paolina: Before and After Michelangelo,Ph.D.,1997,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"ROISMAN, Rona",Francesco da Sangallo: The Tombs,Ph.D.,1995,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"JENKENS, A. Lawrence",The Palazzo Piccolomini in Siena: Pius II's Architectural Patronage and its Afterlife,Ph.D.,1994,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
"HOLMAN, Beth L.",S. Benedetto Po: Renovation and Reform,Ph.D.,1991,"Brandt, Kathleen Weil-Garris",,Renaissance Art,,,
