Name,Date,La,Lo,Place,Notes
Peter Campus,1973,34.855587,-82.401472,Greenville County Museum of Art,
Peter Campus,1973,42.358635,-71.056699,"Museum of Fine Arts, Boston",
Peter Campus,1973,50.93599,6.94476,Kolnischer Kunstverein,
Peter Campus,1973,29.76045,-95.369784,Contemporary Arts Museum,
Peter Campus,1973,40.774656,-73.954067,Bykert Gallery,
Peter Campus,1974,50.93599,6.94476,Kolnischer Kunstverein,
Peter Campus,1974,43.17404,-79.044424,Artpark,"""Art Now: A Celebration of the American Arts"""
Peter Campus,1974,38.89037,-77.031959,"John F. Kennedy Center for the Performing Arts,",
Peter Campus,1974,34.05349,-118.245319,Los Angeles County Museum of Art,"""Collectors Video"""
Peter Campus,1974,44.967259,-93.28834,Walker Art Center,"""Projected Images"""
Peter Campus,1974,40.775008,-73.963708,Leo Castelli Gallery,
Peter Campus,1974,40.745377,-74.006871,The Kitchen,
Peter Campus,1974,50.848385,4.349685,Knokke Film Festival,
Peter Campus,1975,41.428116,-85.753033,Everson Museum of Art,
Peter Campus,1975,-23.56288,-46.654659,Sao Paulo Biennale,
Peter Campus,1975,39.95228,-75.162454,"Institute of Contemporary Art, University of Pennsylvania",
Peter Campus,1975,39.106614,-84.504552,Contemporary Arts Center,
Peter Campus,1975,39.106614,-84.504552,Museum of Contemporary Art,
Peter Campus,1975,41.763325,-72.674069,Wadsworth Atheneum,
Peter Campus,1975,40.775008,-73.963708,Leo Castelli Gallery,
Peter Campus,1975,40.773343,-73.963598,Whitney Museum of American Art,
Peter Campus,1975,40.774656,-73.95406,Bykert Gallery,
Peter Campus,1976,40.773343,-73.963598,Whitney Museum of American Art,"""Autogeography"""
Peter Campus,1976,40.775008,-73.963708,Leo Castelli Gallery,
Peter Campus,1976,42.36679,-71.106019,"Hayden Gallery, Massachusetts Institute of Technology",
Peter Campus,1976,40.761418,-73.977757,The Museum of Modern Art,
Peter Campus,1977,51.311766,9.491195,Documenta 6,
Peter Campus,1977,40.773343,-73.963598,The Kitchen,
Peter Campus,1977,40.004372,-83.017693,Ohio State University,
Peter Campus,1978,45.438254,12.318495,38th Venice Biennale,
Peter Campus,1978,40.7142,-73.963598,Whitney Museum of American Art,
Peter Campus,1978,40.935089,-73.843819,Sarah Lawrence College,
Peter Campus,1978,40.751703,-74.004011,Atlantic Gallery,
Peter Campus,1978,45.438254,12.318495,38th Venice Biennale,
Peter Campus,1979,44.967259,-93.28834,Walker Art Center,"""The Elusive Image"""
Peter Campus,1979,34.05349,-118.245319,Los Angeles Institute of Contemporary Art,"""One of a Kind"""
Peter Campus,1979,36.068994,-79.794704,"Weatherspoon Art Gallery,University of North Carolina","""Art on Paper 1979"""
Peter Campus,1979,42.370772,-72.533204,Hampshire College Gallery,"""Images of the Self"""
Peter Campus,1979,42.96641,-85.671179,Grand Rapids Art Museum,"""Five Artists, Five Technologies"""
Peter Campus,1979,41.084195,-81.514059,Akron Art Institute,
Peter Campus,1979,40.746921,-74.006891,Paula Cooper Gallery,
Peter Campus,1980,48.85693,2.3412,Centre Georges Pompidou,
Peter Campus,1980,40.746921,-74.006891,Paula Cooper Gallery,"""Lynda Benglis, Jon Borofsky, Peter Campus, Michael Hurson"""
Peter Campus,1980,48.85693,2.3412,Galerie Yvon Lambert,"""Paula Cooper at Yvon Lambert"""
Peter Campus,1980,40.724806,-73.990267,Anthology Film Archives,"""Video Art Review"""
Peter Campus,1980,41.28151,-73.498479,Aldrich Museum of Contemporary Art,"""Artists-Photographs"""
Peter Campus,1980,53.430361,-8.326615,National Gallery of Ireland,"""Rosc' 80"""
Peter Campus,1980,34.419255,-119.698869,Santa Barbara Art Museum,"""Extensions of Photography"""
Peter Campus,1981,51.21563,6.77604,McIntosh-Drysdale Gallery,
Peter Campus,1981,40.775008,-73.963708,Leo Castelli Gallery,"""Benefit Exhibition for Trisha Brown Dance Company"""
Peter Campus,1981,51.21563,6.77604,Stadtische Kunsthalle, 
Peter Campus,1981,34.419255,-119.698869,"University of California, Santa Barbara","""Dark/Light"""
Peter Campus,1981,34.0961,-117.716404,Lang Art Gallery,"""Dark/Light"""
Peter Campus,1981,48.202548,16.368805,5th International Biennale,"""Extended Photography"""
Peter Campus,1981,51.3339,6.5623,Kaiser-Wilhelm-Museum,
Peter Campus,1982,40.746921,-74.006891,Paula Cooper Gallery,
Beryl Korot,2012,40.7142,-74.006933,Bitforms gallery,"Solo exhibition, ""Selected Video Works: 1977 to Present"""
Beryl Korot,2011,43.697399,-72.289902,"Dartmouth College, Jaffe-Hopkins and Strauss Galleries","Solo exhibition, ""Beryl Korot: Video -Text/Weave/Line"""
Beryl Korot,2010,41.276951,-73.497757,Aldrich Contemporary Art Museum,"Solo exhibition, ""Beryl Korot: Text/Weave/Line, 1977-2010"""
Beryl Korot,2002,48.852616,2.36235,The Jewish Museum,"Solo exhibition, ""The Cave"""
Beryl Korot,1997,35.689995,139.691696,ICC Galleries,"Solo exhibition, ""The Cave"""
Beryl Korot,1995,47.921829,-97.070923,North Dakota Museum of Art,"Solo exhibition, ""The Cave"""
Beryl Korot,1994,40.40868,-3.69392,Reina Sofia,"Solo exhibition, ""The Cave"""
Beryl Korot,1994,51.210613,6.73908,Dusseldorf Kunstverein,"Solo exhibition, ""The Cave"""
Beryl Korot,1994,50.61667,3.16667,Musee DêAscq,"Solo exhibition, ""The Cave"""
Beryl Korot,1994,40.415649,-80.075722,Carnegie Museum,"Solo exhibition, ""The Cave"""
Beryl Korot,1993,40.7142,-74.0064,Whitney Museum of American Art,"Solo exhibition, ""The Cave"""
Beryl Korot,1986,40.723384,-74.001704,John Weber Gallery,"Solo exhibition, ""Language as Still Life"""
Beryl Korot,1980,40.773343,-73.963598,Whitney Museum of American Art,"Solo exhibition, ""Two Video-Installations"""
Beryl Korot,1979,43.044289,-76.147079,Everson Museum of Art,"Solo exhibition, ""Text and Commentary"""
Beryl Korot,1977,40.775008,-73.963708,Leo Castelli Gallery,"Solo exhibition, ""Text and Commentary"""
Beryl Korot,1976,42.45546,-75.065724,Hartwick Center for the Arts,"Solo exhibition, ""Dachau 1974"""
Beryl Korot,1975,43.044289,-76.147079,Everson Museum of Art,"Solo exhibition, ""Dachau 1974"""
Beryl Korot,1974,40.745377,-74.006871,The Kitchen,"Solo exhibition, ""Dachau 1974"""
Beryl Korot,2011,40.729695,-73.996262,"80WSE, New York Universty","""By Chance,"" A Video Show, curated by Peter Campus"
